,Название,Район,Адрес,Метро,Телефон,Вконтакте,Инстаграм
103,Feromon Lounge Cafe,Frunzensky,"ул. Типанова, 7",Московская,+7 (812) 912-00-98,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
104,Tangiers Lounge,Frunzensky,"ул. Гастелло, 22Б",Московская,+7 (981) 680-68-11,https://vk.com/tangierslounge,https://www.instagram.com/tangierslounge/
105,Sunskrit,Frunzensky,"Ивановская ул., 17",Ломоносовская,+7 (931) 230-65-00,Не указано,https://www.instagram.com/sunskrit_spb
106,Foggy Frog,Lomonosovsky,"Чичеринская ул., 2",Не указано,+7 (960) 333-13-27,https://vk.com/foggyfrogspb,https://www.instagram.com/foggyfrog.spb
107,Feromon 5 uglov,Lomonosovsky,"ул. Ломоносова, 18, Центральный район",Достоевская,+7 (812) 907-07-95,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
108,ТОКИО-CITY,Lomonosovsky,"Санкт-Петербургский просп., 2",Не указано,+7 (812) 245-14-25,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
109,Чайхана Чабрец,Lomonosovsky,"Морской пер., 1",Не указано,+7 (812) 328-40-40,https://vk.com/restoran_chabrez,https://www.instagram.com/chaikhana_chabrez/
110,ТОКИО-CITY,Lomonosovsky,"Санкт-Петербургское ш., 101Б",Не указано,+7 (812) 677-10-00,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
111,Tangiers Lounge Pearl,Lomonosovsky,"ул. Катерников, 8",Не указано,+7 (911) 714-16-11,https://vk.com/tangierslounge,https://www.instagram.com/tangierslounge.pearl/
112,Караоке Che Rooms,Lomonosovsky,"Морской пер., 1",Не указано,+7 (812) 374-74-12,Не указано,https://www.instagram.com/che_rooms/
113,Leet,Lomonosovsky,"Промышленная ул., 6",Нарвская,+7 (953) 377-77-46,https://vk.com/weareleet,https://www.instagram.com/weare1337leet
114,Funny Family,Lomonosovsky,"Разводная ул., 7, корп. 1",Не указано,+7 (812) 981-27-10,https://vk.com/familypeterhof,https://www.instagram.com/rafamily_spb
115,Full smoke lounge bar,Lomonosovsky,"просп. Ветеранов, 171, корп. 1",Не указано,Нет телефона,Не указано,Не указано
116,Ziko food,Lomonosovsky,"ул. Халтурина, 1",Не указано,+7 (911) 946-98-45,Не указано,Не указано
117,Borgata lounge,Lomonosovsky,"ул. Катерников, 5, корп. 1",Не указано,+7 (999) 240-66-97,https://vk.com/borgata77777,Не указано
118,Root Lounge,Lomonosovsky,"Большой просп. Васильевского острова, 38",Василеостровская,+7 (965) 756-75-75,https://vk.com/spb_root_lounge,http://www.instagram.com/root_lounge
119,Шахта,Lomonosovsky,"49, д. Горбунки",Не указано,+7 (911) 788-81-82,Не указано,Не указано
120,Tangiers Lounge Leo,Lomonosovsky,"Ждановская ул., 45",Чкаловская,+7 (911) 969-07-73,https://vk.com/tangierslounge,https://www.instagram.com/tangierslounge.leo
121,Шашлычный Дворик,Lomonosovsky,"Торговая площадь, 8В",Не указано,+7 (965) 047-62-76,https://vk.com/peterhofgrill,https://instagram.com/grillpeterhof?r=nametag
122,ФриДым,Lomonosovsky,"ул. Победы, 21, Московский район",Парк Победы,+7 (923) 888-47-85,Не указано,http://www.instagram.com/freedymofficial
123,Galaxy-Games,Lomonosovsky,"ул. Маршала Казакова, 26",Проспект Ветеранов,+7 (958) 177-44-55,https://vk.com/spb_galaxy,http://instagram.com/spb_galaxy
124,Тайм-кафе Cloud Factory,Lomonosovsky,"ул. Адмирала Трибуца, 7",Не указано,+7 (965) 755-33-35,https://vk.com/cloudfactorytimecafe,https://www.instagram.com/cloudfactorytimecafe/
125,L. Аундж,Lomonosovsky,"Варшавская ул., 6, корп. 2",Электросила,+7 (962) 692-79-35,http://vk.com/la_unge,http://instagram.com/la_unge
126,Diskette Lounge,Lomonosovsky,"Апраксин пер., 2",Сенная площадь,+7 (812) 981-04-58,https://vk.com/diskettelounge,https://www.instagram.com/diskettelounge
127,Honey Lounge Bar,Lomonosovsky,"ул. Адмирала Трибуца, 5",Не указано,+7 (900) 657-08-50,https://vk.com/honeyloungebar,https://www.instagram.com/honey.lounge/
128,Кальянная Black Work,Lomonosovsky,"ул. Латышских Стрелков, 1",Проспект Большевиков,+7 (931) 315-83-81,https://vk.com/blackworkhookah,https://www.instagram.com/blackworkhookah/
129,P. S. Lounge bar,Lomonosovsky,"ул. Правды, 9/10",Звенигородская,+7 (812) 241-17-53,https://vk.com/ps_pravdi,https://www.instagram.com/ps_pravdi/
130,Red 2 Lounge,Lomonosovsky,"Варшавская ул., 6, корп. 1",Электросила,+7 (923) 888-49-84,https://vk.com/red2lounge,https://www.instagram.com/red2lounge/
131,Shanti lounge bar,Admiralteysky,"Гороховая ул., 45Б",Сенная площадь,+7 (812) 929-39-59,Не указано,https://www.instagram.com/shanti_lbar/
132,Бар Лаборатория 31,Admiralteysky,"Гороховая ул., 31",Сенная площадь,+7 (981) 737-35-55,https://vk.com/laborbar31,https://www.instagram.com/laborbar31
133,The Top Lounge,Admiralteysky,"Вознесенский просп., 53",Садовая,+7 (962) 685-35-15,Не указано,https://instagram.com/thetoplounge
134,Pacman,Admiralteysky,"Вознесенский просп., 39",Садовая,+7 (921) 781-90-01,http://vk.com/hookahpacman,http://instagram.com/hookahpacman
135,Keep Calm Lounge,Admiralteysky,"3-я Красноармейская ул., 13",Технологический институт-1,+7 (812) 933-65-18,https://vk.com/keepcalmspb,https://www.instagram.com/keepcalmspb
136,The Fog,Admiralteysky,"7-я Красноармейская ул., 10",Технологический институт-1,Нет телефона,https://vk.com/spbfog,https://www.instagram.com/fogspb
137,Bombshell,Admiralteysky,"Садовая ул., 59Б",Садовая,+7 (911) 277-55-99,https://vk.com/bombshell_spb,https://www.instagram.com/bombshell_spb
138,Pixel Lounge,Admiralteysky,"Малодетскосельский просп., 28",Технологический институт-1,+7 (993) 216-13-47,http://vk.com/pixellounge,http://instagram.com/pixel_lounge_anticafe
139,K8,Admiralteysky,"Казанская ул., 8-10, Адмиралтейский район",Гостиный двор,+7 (812) 920-60-89,https://vk.com/k8_hookahclub,https://www.instagram.com/k8_hookahclub
140,Кальян Хочу,Admiralteysky,"пер. Бринько, 2",Садовая,+7 (981) 808-00-88,Не указано,https://www.instagram.com/kalyan_hochy
141,Diskette Lounge,Admiralteysky,"Апраксин пер., 2",Сенная площадь,+7 (812) 981-04-58,https://vk.com/diskettelounge,https://www.instagram.com/diskettelounge
142,Smoky Way Lounge,Admiralteysky,"3-я Красноармейская ул., 12",Технологический институт-1,+7 (981) 832-33-67,Не указано,http://instagram.com/smoky_way_lounge
143,Why Not?,Admiralteysky,"Измайловский просп., 3",Технологический институт-1,+7 (812) 333-66-99,https://vk.com/whynotspb/,https://www.instagram.com/whynot.spb/
144,P. S. Lounge bar,Admiralteysky,"ул. Правды, 9/10",Звенигородская,+7 (812) 241-17-53,https://vk.com/ps_pravdi,https://www.instagram.com/ps_pravdi/
145,Pixel Lounge,Admiralteysky,"Звенигородская ул., 6",Звенигородская,+7 (999) 535-81-56,https://vk.com/pixellounge2,https://instagram.com/pixel_lounge_zvenigorodskaya
146,Sova Art Prostranstvo,Admiralteysky,"Загородный просп., 42Д",Звенигородская,+7 (984) 888-54-12,https://vk.com/sova_art_prostranstvo,https://www.instagram.com/sova_art_prostranstvo
147,Молодость,Admiralteysky,"Большая Конюшенная ул., 9",Гостиный двор,+7 (921) 907-09-23,https://vk.com/spbmolodost,Не указано
148,Mustang lounge Cafe,Admiralteysky,"Серпуховская ул., 7",Технологический институт-2,Нет телефона,https://vk.com/mustang_lounge_cafe,https://www.instagram.com/mustang_lounge_cafe
